Time_ns,RMSD_A,Compound,Replicate,Efficacy_Type
15.5,3.728287677590194,ARI,2,Partial Agonist
15.6,3.9300608779197734,ARI,2,Partial Agonist
15.7,4.601218787813305,ARI,2,Partial Agonist
15.8,3.682537484720973,ARI,2,Partial Agonist
15.9,2.8188069647700797,ARI,2,Partial Agonist
16.0,3.2752132268071525,ARI,2,Partial Agonist
16.1,2.5977272094239092,ARI,2,Partial Agonist
16.2,2.607844872327084,ARI,2,Partial Agonist
16.3,2.46779210735727,ARI,2,Partial Agonist
16.4,2.6145281463816312,ARI,2,Partial Agonist
16.5,3.3224307534552446,ARI,2,Partial Agonist
16.6,3.559785163299408,ARI,2,Partial Agonist
16.7,3.6198935769874057,ARI,2,Partial Agonist
16.8,2.738629432379762,ARI,2,Partial Agonist
16.9,3.133862897525875,ARI,2,Partial Agonist
17.0,2.377147467312121,ARI,2,Partial Agonist
17.1,2.557803031584574,ARI,2,Partial Agonist
17.2,2.87791522653371,ARI,2,Partial Agonist
17.3,3.232284045322902,ARI,2,Partial Agonist
17.4,2.9237754949257697,ARI,2,Partial Agonist
17.5,3.2620500501784555,ARI,2,Partial Agonist
17.6,3.1645848085669566,ARI,2,Partial Agonist
17.7,2.9252840692151323,ARI,2,Partial Agonist
17.8,2.189695210660827,ARI,2,Partial Agonist
17.9,1.9367483263707552,ARI,2,Partial Agonist
18.0,2.0804088614490066,ARI,2,Partial Agonist
18.1,2.018046270428641,ARI,2,Partial Agonist
18.2,1.9875789416908924,ARI,2,Partial Agonist
18.3,2.2735443938482036,ARI,2,Partial Agonist
18.4,1.790523127658535,ARI,2,Partial Agonist
18.5,2.7457572343835195,ARI,2,Partial Agonist
18.6,2.5106237167712586,ARI,2,Partial Agonist
18.7,1.7013173333933427,ARI,2,Partial Agonist
18.8,2.3684796283694873,ARI,2,Partial Agonist
18.9,1.2843993271679146,ARI,2,Partial Agonist
19.0,2.0768281940886064,ARI,2,Partial Agonist
19.1,1.8382941761210907,ARI,2,Partial Agonist
19.2,1.7423681262006214,ARI,2,Partial Agonist
19.3,1.9196468137516092,ARI,2,Partial Agonist
19.4,2.849496766840684,ARI,2,Partial Agonist
19.5,2.4959856451604328,ARI,2,Partial Agonist
19.6,2.4223387721329797,ARI,2,Partial Agonist
19.7,2.1489473007246787,ARI,2,Partial Agonist
19.8,2.9418656575652493,ARI,2,Partial Agonist
19.9,2.874575975573731,ARI,2,Partial Agonist
20.0,2.6901554902091185,ARI,2,Partial Agonist
20.1,1.4060993724244075,ARI,2,Partial Agonist
20.2,2.2064012243086353,ARI,2,Partial Agonist
20.3,2.001361151595527,ARI,2,Partial Agonist
20.4,1.9099174779538763,ARI,2,Partial Agonist
20.5,1.3476031315255317,ARI,2,Partial Agonist
20.6,1.6785103820224503,ARI,2,Partial Agonist
20.7,1.8353005459118685,ARI,2,Partial Agonist
20.8,1.0993532979506173,ARI,2,Partial Agonist
20.9,1.888147463884337,ARI,2,Partial Agonist
21.0,1.0357609045233818,ARI,2,Partial Agonist
21.1,0.8287939921887261,ARI,2,Partial Agonist
21.2,1.265729783886242,ARI,2,Partial Agonist
21.3,1.3274383578268136,ARI,2,Partial Agonist
21.4,1.9424286691043067,ARI,2,Partial Agonist
21.5,1.5475399058839843,ARI,2,Partial Agonist
21.6,1.8579908174912534,ARI,2,Partial Agonist
21.7,1.9844625864370267,ARI,2,Partial Agonist
21.8,2.2526833625928515,ARI,2,Partial Agonist
21.9,3.5068950870573024,ARI,2,Partial Agonist
22.0,2.7650960140684204,ARI,2,Partial Agonist
22.1,2.8264506777562275,ARI,2,Partial Agonist
22.2,2.971534491628248,ARI,2,Partial Agonist
22.3,1.9720593980304826,ARI,2,Partial Agonist
22.4,1.7943966977719497,ARI,2,Partial Agonist
22.5,1.683431377310279,ARI,2,Partial Agonist
22.6,1.7913067225479877,ARI,2,Partial Agonist
22.7,2.1210054431008976,ARI,2,Partial Agonist
22.8,1.6336852706077623,ARI,2,Partial Agonist
22.9,4.537112756261817,ARI,2,Partial Agonist
23.0,2.7694498833403105,ARI,2,Partial Agonist
23.1,2.949213018136339,ARI,2,Partial Agonist
23.2,3.711657374982709,ARI,2,Partial Agonist
23.3,3.3766457814279076,ARI,2,Partial Agonist
23.4,3.11568426955356,ARI,2,Partial Agonist
23.5,3.569973850002079,ARI,2,Partial Agonist
23.6,3.060823159886691,ARI,2,Partial Agonist
23.7,3.414268528091885,ARI,2,Partial Agonist
23.8,2.8988322154230954,ARI,2,Partial Agonist
23.9,3.75908446567977,ARI,2,Partial Agonist
24.0,3.30273367072103,ARI,2,Partial Agonist
24.1,2.0919812326101246,ARI,2,Partial Agonist
24.2,2.197662960997393,ARI,2,Partial Agonist
24.3,2.7406354660926184,ARI,2,Partial Agonist
24.4,2.4029959728219508,ARI,2,Partial Agonist
24.5,1.750611967279721,ARI,2,Partial Agonist
24.6,2.059437899004743,ARI,2,Partial Agonist
24.7,2.9985282143444194,ARI,2,Partial Agonist
24.8,3.664946923202144,ARI,2,Partial Agonist
24.9,3.2603895887560626,ARI,2,Partial Agonist
25.0,3.6938526722771003,ARI,2,Partial Agonist
25.1,4.020487669385949,ARI,2,Partial Agonist
25.2,3.503142310361895,ARI,2,Partial Agonist
25.3,2.4188462211329878,ARI,2,Partial Agonist
25.4,1.5243596639182335,ARI,2,Partial Agonist
25.5,1.7304386074011477,ARI,2,Partial Agonist
25.6,0.9878874831700771,ARI,2,Partial Agonist
25.7,1.1466763501208275,ARI,2,Partial Agonist
25.8,2.5516731292652026,ARI,2,Partial Agonist
25.9,1.7304007299353086,ARI,2,Partial Agonist
26.0,2.5175191704685056,ARI,2,Partial Agonist
26.1,2.0860869721596265,ARI,2,Partial Agonist
26.2,1.7854800594350555,ARI,2,Partial Agonist
26.3,2.353969912904349,ARI,2,Partial Agonist
26.4,1.5925804972998843,ARI,2,Partial Agonist
26.5,2.19425903814435,ARI,2,Partial Agonist
26.6,3.148464366314737,ARI,2,Partial Agonist
26.7,2.701524864410286,ARI,2,Partial Agonist
26.8,2.5549498187773487,ARI,2,Partial Agonist
26.9,1.8267051602133453,ARI,2,Partial Agonist
27.0,1.900635230379791,ARI,2,Partial Agonist
27.1,1.7697722041598207,ARI,2,Partial Agonist
27.2,1.7029240319997092,ARI,2,Partial Agonist
27.3,1.1700099434164608,ARI,2,Partial Agonist
27.4,1.3449735864127492,ARI,2,Partial Agonist
27.5,2.6465393938494812,ARI,2,Partial Agonist
27.6,2.7169106725153354,ARI,2,Partial Agonist
27.7,3.1423108771852224,ARI,2,Partial Agonist
27.8,2.9181203795297055,ARI,2,Partial Agonist
27.9,3.100541367561746,ARI,2,Partial Agonist
28.0,2.747992783326226,ARI,2,Partial Agonist
28.1,3.6976791229743373,ARI,2,Partial Agonist
28.2,3.1541641830299776,ARI,2,Partial Agonist
28.3,2.0450990914826326,ARI,2,Partial Agonist
28.4,2.764028469925731,ARI,2,Partial Agonist
28.5,2.4134553136329147,ARI,2,Partial Agonist
28.6,3.4170227072868355,ARI,2,Partial Agonist
28.7,4.639105110286595,ARI,2,Partial Agonist
28.8,4.381145512525565,ARI,2,Partial Agonist
28.9,3.9697798518542617,ARI,2,Partial Agonist
29.0,3.0934225377142486,ARI,2,Partial Agonist
29.1,4.224249176491548,ARI,2,Partial Agonist
29.2,3.4571490926130974,ARI,2,Partial Agonist
29.3,2.083047805131523,ARI,2,Partial Agonist
29.4,2.2239870208982495,ARI,2,Partial Agonist
29.5,2.1890371855772526,ARI,2,Partial Agonist
29.6,2.131265156024371,ARI,2,Partial Agonist
29.7,2.129369451397422,ARI,2,Partial Agonist
29.8,3.3065906419103652,ARI,2,Partial Agonist
29.9,2.4180631174516933,ARI,2,Partial Agonist
30.0,3.103445028854364,ARI,2,Partial Agonist
30.1,3.689003387682358,ARI,2,Partial Agonist
30.2,3.3274245017548214,ARI,2,Partial Agonist
30.3,4.534854220081291,ARI,2,Partial Agonist
30.4,3.944261424799829,ARI,2,Partial Agonist
30.5,4.851278036623896,ARI,2,Partial Agonist
30.6,4.885225006709009,ARI,2,Partial Agonist
30.7,5.08579458136368,ARI,2,Partial Agonist
30.8,4.111083532489951,ARI,2,Partial Agonist
30.9,3.826933493434852,ARI,2,Partial Agonist
31.0,4.233567029760255,ARI,2,Partial Agonist
31.1,3.4266252321138806,ARI,2,Partial Agonist
31.2,4.272189098287574,ARI,2,Partial Agonist
31.3,4.7321649283312714,ARI,2,Partial Agonist
31.4,4.082986706928539,ARI,2,Partial Agonist
31.5,4.554586286474488,ARI,2,Partial Agonist
31.6,3.695753780288996,ARI,2,Partial Agonist
31.7,4.091376393306823,ARI,2,Partial Agonist
31.8,3.473444657123053,ARI,2,Partial Agonist
31.9,4.409143384132507,ARI,2,Partial Agonist
32.0,2.909812200706962,ARI,2,Partial Agonist
32.1,3.150918168337345,ARI,2,Partial Agonist
32.2,3.3465177054980906,ARI,2,Partial Agonist
32.3,3.707421950253169,ARI,2,Partial Agonist
32.4,2.529793519780374,ARI,2,Partial Agonist
32.5,2.99063746530742,ARI,2,Partial Agonist
32.6,3.1158788904102823,ARI,2,Partial Agonist
32.7,2.979847965285781,ARI,2,Partial Agonist
32.8,3.049913819043795,ARI,2,Partial Agonist
32.9,3.058710481720121,ARI,2,Partial Agonist
33.0,3.1087926581527245,ARI,2,Partial Agonist
33.1,3.5038526939429633,ARI,2,Partial Agonist
33.2,3.0021245244273014,ARI,2,Partial Agonist
33.3,3.1892618127137204,ARI,2,Partial Agonist
33.4,2.8995290858950784,ARI,2,Partial Agonist
33.5,3.530697678474196,ARI,2,Partial Agonist
33.6,3.6305691668851936,ARI,2,Partial Agonist
33.7,3.7204037698244745,ARI,2,Partial Agonist
33.8,3.0378825408759056,ARI,2,Partial Agonist
33.9,3.4976582857444076,ARI,2,Partial Agonist
34.0,2.9178257786748167,ARI,2,Partial Agonist
34.1,3.536274202255641,ARI,2,Partial Agonist
34.2,3.365253630380618,ARI,2,Partial Agonist
34.3,3.222229500354967,ARI,2,Partial Agonist
34.4,3.8932301469672113,ARI,2,Partial Agonist
34.5,4.354993181569446,ARI,2,Partial Agonist
34.6,4.257378005273604,ARI,2,Partial Agonist
34.7,4.226023636091583,ARI,2,Partial Agonist
34.8,3.7799430405930363,ARI,2,Partial Agonist
34.9,3.7530295142566157,ARI,2,Partial Agonist
35.0,4.295954408884132,ARI,2,Partial Agonist
35.1,3.6453902409806003,ARI,2,Partial Agonist
35.2,3.5195368985785818,ARI,2,Partial Agonist
35.3,3.4205757142229407,ARI,2,Partial Agonist
35.4,3.953981536967775,ARI,2,Partial Agonist
35.5,3.2924643834897767,ARI,2,Partial Agonist
35.6,3.581610097425529,ARI,2,Partial Agonist
35.7,2.676529483979191,ARI,2,Partial Agonist
35.8,2.891902730685926,ARI,2,Partial Agonist
35.9,3.272253494897237,ARI,2,Partial Agonist
36.0,2.8589890258496795,ARI,2,Partial Agonist
36.1,2.913186221167996,ARI,2,Partial Agonist
36.2,3.8218965956987314,ARI,2,Partial Agonist
36.3,3.82241749550927,ARI,2,Partial Agonist
36.4,4.460412701203596,ARI,2,Partial Agonist
36.5,4.423763218343814,ARI,2,Partial Agonist
36.6,4.769877811327278,ARI,2,Partial Agonist
36.7,4.396252309125757,ARI,2,Partial Agonist
36.8,4.3452299506177425,ARI,2,Partial Agonist
36.9,4.162965491640419,ARI,2,Partial Agonist
37.0,4.046382326017526,ARI,2,Partial Agonist
37.1,4.0231468272964035,ARI,2,Partial Agonist
37.2,4.694018249779333,ARI,2,Partial Agonist
37.3,4.792486191376942,ARI,2,Partial Agonist
37.4,4.851052249864124,ARI,2,Partial Agonist
37.5,4.708356236371693,ARI,2,Partial Agonist
37.6,5.305352015351051,ARI,2,Partial Agonist
37.7,5.252760653422612,ARI,2,Partial Agonist
37.8,5.752688184398187,ARI,2,Partial Agonist
37.9,5.440280455896061,ARI,2,Partial Agonist
38.0,5.9150752732695375,ARI,2,Partial Agonist
38.1,5.440359861647741,ARI,2,Partial Agonist
38.2,5.672071648093474,ARI,2,Partial Agonist
38.3,5.373623263869127,ARI,2,Partial Agonist
38.4,4.885717931401108,ARI,2,Partial Agonist
38.5,4.046114024774414,ARI,2,Partial Agonist
38.6,4.132626419966726,ARI,2,Partial Agonist
38.7,3.8792130675071994,ARI,2,Partial Agonist
38.8,3.3139085239089585,ARI,2,Partial Agonist
38.9,3.308863183491399,ARI,2,Partial Agonist
39.0,3.9951694798829838,ARI,2,Partial Agonist
39.1,4.739910160607552,ARI,2,Partial Agonist
39.2,4.179785396382235,ARI,2,Partial Agonist
39.3,4.132310356368125,ARI,2,Partial Agonist
39.4,3.695488017685367,ARI,2,Partial Agonist
39.5,4.44594656327841,ARI,2,Partial Agonist
39.6,3.9091237074587912,ARI,2,Partial Agonist
39.7,4.6878939405701825,ARI,2,Partial Agonist
39.8,4.034885551697964,ARI,2,Partial Agonist
39.9,4.039520575421026,ARI,2,Partial Agonist
40.0,4.278909248260572,ARI,2,Partial Agonist
40.1,4.169283570295321,ARI,2,Partial Agonist
40.2,3.9630389289840453,ARI,2,Partial Agonist
40.3,4.426353222981753,ARI,2,Partial Agonist
40.4,3.960135710285843,ARI,2,Partial Agonist
40.5,3.4473003927859556,ARI,2,Partial Agonist
40.6,4.110337172446801,ARI,2,Partial Agonist
40.7,3.6877624235777176,ARI,2,Partial Agonist
40.8,4.149002637442634,ARI,2,Partial Agonist
40.9,4.439087880246526,ARI,2,Partial Agonist
